"","Date","xpr_price","nasdaq_price","xpr_change","nasdaq_change","xpr_status","nasdaq_status","xpr_perc","nasdaq_perc"
"1",2024-02-09,0.52601,15990.66,NA,NA,NA,NA,NA,NA
"2",2024-02-08,0.5146,15793.71,-0.01141,-196.950000000001,"Increased","Increased",-2.169,-1.232
"3",2024-02-07,0.51379,15756.64,-0.000809999999999977,-37.0699999999997,"Increased","Increased",-0.157,-0.235
"4",2024-02-06,0.50509,15609,-0.00869999999999993,-147.639999999999,"Increased","Increased",-1.693,-0.937
"5",2024-02-05,0.5068,15597.68,0.00170999999999999,-11.3199999999997,"Decreased","Increased",0.339,-0.073
"6",2024-02-02,0.51074,15628.95,0.00393999999999994,31.2700000000004,"Decreased","Decreased",0.777,0.2
"7",2024-02-01,0.50582,15361.64,-0.00491999999999992,-267.310000000001,"Increased","Increased",-0.963,-1.71
"8",2024-01-31,0.50328,15164.01,-0.0025400000000001,-197.629999999999,"Increased","Increased",-0.502,-1.287
"9",2024-01-30,0.51064,15509.9,0.00736000000000003,345.889999999999,"Decreased","Decreased",1.462,2.281
"10",2024-01-29,0.5351,15628.04,0.02446,118.140000000001,"Decreased","Decreased",4.79,0.762
"11",2024-01-26,0.53215,15455.36,-0.00295000000000001,-172.68,"Increased","Increased",-0.551,-1.105
"12",2024-01-25,0.51371,15510.5,-0.01844,55.1399999999994,"Increased","Decreased",-3.465,0.357
"13",2024-01-24,0.51819,15481.92,0.00448000000000004,-28.5799999999999,"Decreased","Increased",0.872,-0.184
"14",2024-01-23,0.51811,15425.94,-8.000000000008e-05,-55.9799999999996,"Increased","Increased",-0.015,-0.362
"15",2024-01-22,0.52739,15360.29,0.00928000000000007,-65.6499999999996,"Decreased","Increased",1.791,-0.426
"16",2024-01-19,0.5443,15310.97,0.01691,-49.3200000000015,"Decreased","Increased",3.206,-0.321
"17",2024-01-18,0.55179,15055.65,0.00749,-255.32,"Decreased","Increased",1.376,-1.668
"18",2024-01-17,0.5686,14855.62,0.01681,-200.029999999999,"Decreased","Increased",3.046,-1.329
"19",2024-01-16,0.57567,14944.35,0.00707000000000002,88.7299999999996,"Decreased","Decreased",1.243,0.597
